인증구분,건물구분,건물용도,지역,연면적,인증등급
예비인증,주거용 이외,업무시설,부산,1525.3,4.0
예비인증,주거용 이외,제1종 근린생활시설,강원,1659.95,4.0
예비인증,주거용 이외,관광 휴게시설,전남,3209.71,2.0
예비인증,주거용 이외,노유자시설,충북,2872.65,4.0
예비인증,주거용 이외,교육연구시설,경기,14469.73,4.0
예비인증,주거용 이외,제1종 근린생활시설,경북,787.445,5.0
예비인증,주거용 이외,국방·군사시설,충남,2015.93,3.0
예비인증,주거용 이외,노유자시설,울산,5340.04,4.0
예비인증,주거용 이외,교육연구시설,대전,9884.13,4.0
예비인증,주거용 이외,공장,대구,3393.69,5.0
예비인증,주거용 이외,제1종 근린생활시설,전북,740.64,3.0
예비인증,주거용 이외,동물 및 식물 관련 시설,전남,855.69,5.0
본인증,주거용 이외,교육연구시설,경북,3993.85,4.0
예비인증,주거용 이외,교육연구시설,경기,2334.21,4.0
예비인증,주거용 이외,국방·군사시설,경기,1025.43,3.0
예비인증,주거용 이외,국방·군사시설,경기,1089.62,5.0
예비인증,주거용 이외,교육연구시설,강원,740.04,5.0
예비인증,주거용 이외,교육연구시설,경북,1632.61,4.0
예비인증,주거용 이외,교육연구시설,전남,5367.57,4.0
예비인증,주거용 이외,운동시설,경북,3699.85,3.0
예비인증,주거용 이외,교육연구시설,경북,2484.27,3.0
예비인증,주거용 이외,제1종 근린생활시설,전남,728.96,3.0
예비인증,주거용 이외,교육연구시설,충남,4678.44,4.0
예비인증,주거용 이외,업무시설,경기,8519.196,5.0
예비인증,주거용 이외,업무시설,대구,1797.56,3.0
예비인증,주거용 이외,업무시설,서울,6119.83,5.0
예비인증,주거용 이외,제2종 근린생활시설,강원,411.13,4.0
예비인증,주거용 이외,교육연구시설,경남,5024.56,2.0
예비인증,주거용 이외,교육연구시설,전남,3062.78,3.0
예비인증,주거용 이외,교육연구시설,경기,1542.36,4.0
예비인증,주거용 이외,국방·군사시설,부산,1279.07,3.0
예비인증,주거용 이외,교육연구시설,서울,1279.37,4.0
예비인증,주거용 이외,제1종 근린생활시설,경북,965.7,5.0
예비인증,주거용 이외,교육연구시설,경북,837.4,3.0
예비인증,주거용 이외,제1종 근린생활시설,경북,991.46,5.0
예비인증,주거용 이외,교육연구시설,전남,3397.66,4.0
예비인증,주거용 이외,노유자시설,전남,790.17,5.0
예비인증,주거용 이외,교육연구시설,경기,867.1,5.0
예비인증,주거용 이외,제1종 근린생활시설,강원,961.79,4.0
예비인증,주거용 이외,국방·군사시설,강원,23650.09,5.0
예비인증,주거용 이외,운동시설,경남,1888.75,4.0
예비인증,주거용 이외,교육연구시설,전남,2988.38,4.0
예비인증,주거용 이외,제1종 근린생활시설,충남,372.12,3.0
예비인증,주거용 이외,제1종 근린생활시설,충남,541.84,5.0
예비인증,주거용 이외,교육연구시설,인천,2366.88,4.0
예비인증,주거용 이외,교육연구시설,부산,14187.87,4.0
예비인증,주거용 이외,국방·군사시설,강원,6161.65,5.0
예비인증,주거용 이외,국방·군사시설,강원,2092.39,5.0
예비인증,주거용 이외,제1종 근린생활시설,강원,653.28,5.0
예비인증,주거용 이외,제2종 근린생활시설,전남,959.27,4.0
예비인증,주거용 이외,교육연구시설,충남,19575.74,4.0
예비인증,주거용 이외,노유자시설,경기,2941.26,5.0
예비인증,주거용 이외,교육연구시설,경기,11343.18,3.0
예비인증,주거용 이외,제1종 근린생활시설,부산,1726.42,4.0
예비인증,주거용 이외,교육연구시설,경기,7332.07,3.0
예비인증,주거용 이외,제1종 근린생활시설,대전,1147.5,5.0
예비인증,주거용 이외,교육연구시설,전북,1392.83,4.0
예비인증,주거용 이외,관광 휴게시설,전북,1452.4,5.0
예비인증,주거용 이외,교육연구시설,강원,2358.31,3.0
예비인증,주거용 이외,제1종 근린생활시설,전남,2582.74,4.0
예비인증,주거용 이외,제2종 근린생활시설,충남,612.25,4.0
예비인증,주거용 이외,업무시설,경기,3387.22,4.0
예비인증,주거용 이외,교육연구시설,경기,12021.76,4.0
예비인증,주거용 이외,교육연구시설,울산,22929.98,4.0
예비인증,주거용 이외,교육연구시설,울산,1450.73,2.0
예비인증,주거용,공동주택,경기,86024.6152,3.0
예비인증,주거용,공동주택,경기,139086.3405,3.0
예비인증,주거용 이외,제1종 근린생활시설,경북,1750.002,4.0
예비인증,주거용 이외,운동시설,충남,871.24,5.0
예비인증,주거용 이외,교육연구시설,충남,13924.19,4.0
예비인증,주거용 이외,교육연구시설,강원,12257.75,5.0
예비인증,주거용 이외,노유자시설,충남,2310.68,4.0
예비인증,주거용 이외,업무시설,서울,6735.19,4.0
예비인증,주거용 이외,업무시설,서울,1477.53,5.0
예비인증,주거용 이외,국방·군사시설,강원,1494.465,5.0
예비인증,주거용 이외,교육연구시설,경남,7971.62,4.0
예비인증,주거용 이외,국방·군사시설,충남,3846.94,4.0
예비인증,주거용 이외,국방·군사시설,전북,3362.61,5.0
예비인증,주거용 이외,국방·군사시설,전북,938.45,4.0
예비인증,주거용 이외,교육연구시설,강원,1196.19,4.0
예비인증,주거용 이외,제1종 근린생활시설,경남,645.68,5.0
예비인증,주거용 이외,국방·군사시설,강원,1248.68,5.0
예비인증,주거용 이외,교육연구시설,강원,2456.99,3.0
예비인증,주거용 이외,국방·군사시설,경기,844.8,5.0
예비인증,주거용 이외,제1종 근린생활시설,전북,870.21,4.0
예비인증,주거용 이외,교육연구시설,경남,15977.3,4.0
예비인증,주거용 이외,업무시설,경남,1733.85,3.0
예비인증,주거용 이외,노유자시설,전남,2497.52,4.0
예비인증,주거용 이외,제1종 근린생활시설,전남,1071.29,4.0
예비인증,주거용 이외,업무시설,전남,1675.16,4.0
예비인증,주거용 이외,교육연구시설,충남,999.87,4.0
예비인증,주거용 이외,교육연구시설,충북,9967.36,4.0
예비인증,주거용 이외,운수시설,대전,906.19,5.0
예비인증,주거용 이외,운동시설,충북,1027.87,1.0
예비인증,주거용 이외,교육연구시설,인천,5668.93,4.0
예비인증,주거용 이외,국방·군사시설,충남,2015.94,5.0
예비인증,주거용,공동주택,대전,4582.1372,5.0
예비인증,주거용,공동주택,대전,4104.8749,5.0
예비인증,주거용 이외,교육연구시설,전북,2727.73,5.0
예비인증,주거용 이외,제2종 근린생활시설,경남,3928.31,4.0
예비인증,주거용 이외,제1종 근린생활시설,경남,1490.71,5.0
예비인증,주거용 이외,교육연구시설,경북,16426.42,4.0
예비인증,주거용,"임대주택(영구, 국민, 공공)",전북,112930.2462,5.0
예비인증,주거용 이외,국방·군사시설,세종,1669.58,5.0
예비인증,주거용 이외,교육연구시설,부산,8135.61,4.0
예비인증,주거용 이외,노유자시설,서울,711.97,5.0
예비인증,주거용 이외,교육연구시설,강원,2946.92,4.0
예비인증,주거용 이외,교육연구시설,강원,728.36,5.0
예비인증,주거용 이외,국방·군사시설,강원,2800.77,5.0
예비인증,주거용 이외,제1종 근린생활시설,강원,998.89,4.0
예비인증,주거용 이외,업무시설,경북,6298.5863,3.0
